URL,Title,Description,Base_url
https://techxplore.com/news/2024-07-physical-nonlinear-tasks-traditional-processor.html,A first physical system to learn nonlinear tasks without a traditional computer processor,"Scientists run into a lot of tradeoffs trying to build and scale up brain-like systems that can perform machine learning. For instance, artificial neural networks are capable of learning complex language and vision tasks, ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-material-paves-chip-energy-harvesting.html,New material paves the way to on-chip energy harvesting,"Researchers from Germany, Italy, and the UK have achieved a major advance in the development of materials suitable for on-chip energy harvesting. By composing an alloy made of silicon, germanium and tin, they were able to ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-highly-efficient-stable-solar-cells.html,Highly efficient and stable solar cells can now be mass produced like printing newspapers,"Scientists at the City University of Hong Kong (CityUHK) have developed highly efficient, printable and stable perovskite solar cells to achieve carbon neutrality and promote sustainable development.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-propagation-boost-5g-6g-networks.html,Better understanding of wave propagation processes could boost 5G and 6G networks,Researchers from the Smart and Wireless Applications and Technologies Group (SWAT-UGR) have conducted two scientific studies aimed at answering a common question: understanding how electromagnetic waves propagate in the medium.,https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-hexagonal-perovskite-oxides-electrolytes-generation.html,Hexagonal perovskite oxides: Electrolytes for next-generation protonic ceramic fuel cells,Researchers from Tokyo Tech have identified hexagonal perovskite-related Ba5R2Al2SnO13 oxides (R = rare earth metal) as materials with exceptionally high proton conductivity and thermal stability.,https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-state-geothermal-hydrogen-power-colorado.html,"State assesses geothermal, hydrogen power to help make Colorado 100% renewable","Colorado's goal is to get to 100% renewable energy by 2040, and state officials are looking to geothermal and hydrogen power as important pieces of making the transition.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-high-tech-whiskers-robots-ability.html,High-tech 'whiskers' give working robots more ability to move safely,"Taking inspiration from the animal kingdom, Flinders University researchers are developing affordable, flexible and highly responsive 'whiskers' to attach to robots. Their article, ""Optimising electromechanical whisker design ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-carbon-storage-technology-fastest-kind.html,New carbon storage technology is fastest of its kind,"A new way to store carbon captured from the atmosphere, developed by researchers at The University of Texas at Austin, works much faster than current methods without the harmful chemical accelerants they require.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-ai-chatbots-certified-ethical-hacking.html,"AI chatbots can pass certified ethical hacking exams, study finds","Chatbots powered by artificial intelligence (AI) can pass a cybersecurity exam, but don't rely on them for complete protection.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-vehicle-grid-response-electric-vehicles.html,"A vehicle-to-grid response: Electric vehicles fed power into Australian grid during blackout, says report","During a major storm event that eventually cut power to tens of thousands of homes, a fleet of electric vehicles (EVs) were able to feed power back into Australia's electricity grid, according to a new report from The Australian ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-international-team-high-frequency-future.html,International team creates high-frequency switch for future 6G networks,"UAB (University of Barcelona) researchers were involved in the development of a switch, an essential device in telecommunications, capable of operating at very high frequency with lower power consumption than conventional ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-tax-credits-role-blue-hydrogen.html,Study evaluates tax credits' role in blue hydrogen production costs,"A new analysis by University of Wyoming researchers examines the impact of current federal economic incentives on large-scale, blue hydrogen production technologies and estimates the expected outcomes in long-term expenses ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-samsung-disruption-production.html,Samsung says 'no disruption' to production despite strike,South Korean tech giant Samsung said Tuesday that production was not being disrupted despite a three-day general strike by thousands of workers.,https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-fabricate-ultrastrong-aluminum-alloys-additive.html,Engineers fabricate ultrastrong aluminum alloys for additive manufacturing,Purdue University material engineers have created a patent-pending process to develop ultrahigh-strength aluminum alloys that are suitable for additive manufacturing because of their plastic deformability.,https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-photoelectron-spectroscopy-analysis-solid-state.html,Photoelectron spectroscopy analysis shows how solid-state batteries degrade,"Solid-state batteries have several advantages: They can store more energy and are safer than batteries with liquid electrolytes. However, they do not last as long and their capacity decreases with each charge cycle. But it ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-impact-reconfigurable-intelligent-surfaces-radio.html,New model predicts impact of reconfigurable intelligent surfaces on radio wave propagation,"A method to analytically express the performance of wireless communication systems when using reconfigurable intelligent surfaces (RIS) has been successfully developed by researchers at Tohoku University, the University of ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-simple-firmware-device-bluetooth-fingerprint.html,A simple firmware update completely hides a device's Bluetooth fingerprint,"A smartphone's unique Bluetooth fingerprint could be used to track the device's user–until now. A team of researchers have developed a simple firmware update that can completely hide the Bluetooth fingerprint, eliminating ...",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-actuators-artificial-muscles-safer-softer.html,"Low-cost actuators offer new twist on artificial 'muscles' for safer, softer robots","Northwestern University engineers have developed a new soft, flexible device that makes robots move by expanding and contracting—just like a human muscle.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-framework-child-safe-ai-incidents.html,"Study proposes framework for 'child-safe AI' following incidents in which kids saw chatbots as quasi-human, trustworthy","Artificial intelligence (AI) chatbots have frequently shown signs of an ""empathy gap"" that puts young users at risk of distress or harm, raising the urgent need for ""child-safe AI,"" according to a study.",https://techxplore.com/weekly-news/page1.html
https://techxplore.com/news/2024-07-movements-humanoids-3d-environments.html,A new model to plan and control the movements of humanoids in 3D environments,"Humanoids, robotic or virtual systems with body structures that resemble the human body, have a wide range of real-world applications. As their limbs and bodies mirror those of humans, they could be made to reproduce a wide ...",https://techxplore.com/weekly-news/page1.html
